stop,count
GGT1,64438
PRDJ2,3312
BLFZ1,12349
SRGB1,42941
BRP1,22635
BRV3,18130
BRV4,24818
FMAG,15126
FTC1,28079
BCNT,36413
PLNT1,66172
STC1,27544
FLU4,47325
FLU2,96227
DL2,50972
CNT2,54684
IFOZ1,50332
PASS3,45142
SRLZ1,53837
PING1,51020
PREL5,10873
MLAM3,10160
CTS3,10320
LUG2,13471
PRCD1,20750
PGM1,34866
BARO1,31431
5714,3201
5722,3201
PCNS,3201
CSRT3,3201
DCS3,3198
SCAL1,3198
SCAL2,3198
SCT4,3198
MEIR,3265
SR4,10292
FCH1,39377
HMLM3,46772
NEVG,22140
SR2,1907
ESS1,3568
PUNV,4279
FEP2,14951
FEUP1,16091
FEUP2,6041
FEP1,6053
CPRN4,8661
CRM1,20568
BRRM1,6928
IRM1,17887
REV1,12541
LDDM1,9769
CSA3,15817
PQC1,2070
STJ1,19510
5776,145340
HMLM2,2268
BRA4,61127
CPSF2,23284
CQ3,4738
MIS3,54274
MIS4,14076
BRA5,23635
ISEP4,18887
ALVT2,6859
ABSS2,30162
RBSS2,55091
PBSS1,3278
AAL4,57436
MCBL2,14402
SCAT1,27655
PDR,28529
MCE1,23621
BIC1,5612
CMO,132523
DL5,15624
CNT3,13813
PASS,11603
AA1,6516
ARS2,3865
PRFL1,66499
1AL2,20352
PRFL,50373
GGF,10657
5772,132100
5791,129238
HSJ1,18063
ASP3,27702
ENX1,27934
PJUV1,30713
TRD2,6482
GGF1,114022
SRPT1,11126
MTB2,4690
CNG2,5343
BRSE2,5961
ARS4,12160
VRZL1,16026
TRH2,15199
MATR,9176
MGB2,11627
RBD1,11488
RAEP2,6719
RUL1,7954
MATR2,5649
RNH1,10374
JAZ1,8293
SETB1,5349
SRP3,1530
RSR3,1530
RSR4,1556
SRP4,1556
CIRC5,3058
JAZ2,9277
CAM1,43543
TLHR1,14987
BLG1,13959
PARR2,3423
ST3,56206
RGSM1,14525
IGAL1,52321
CRRP2,64715
HSA5,88442
CMP1,9464
PBSS2,105393
PCC1,8527
IPO4,77710
HSJ7,867
HSJ11,10399
AML1,7996
TLHO1,1783
ESED1,10848
HSJ12,12720
IPO5,20740
1DBR1,14355
1MGB1,13186
C24A3,101369
DJOA4,42906
RFZ1,10735
LPC,16818
TEC,15728
FCA,18127
PGON2,5567
PING3,16217
PORI4,12954
PRG6,26962
TBNJ2,24863
PINC2,23281
MTT2,26234
MOR3,26003
MRD,30579
5713,836492
STC2,29415
ALX2,29953
LRD2,131088
CRTO1,5759
FTNH2,8932
BLRB3,1461
GCRT,9298
ESCN1,7405
MOR1,9986
STP1,8505
PRG3,7597
CALE,31010
CDF1,8950
PRR7,8846
JN4,14659
BS6,3318
BS9,3264
GONS1,3330
BRRG2,22686
PFMA1,2604
AZV3,7053
BLGT1,6042
JN3,15492
PAST1,23265
FLUN3,20351
PNG3,6379
LIEG2,33931
DIU1,27015
BRRG1,29788
ISEP2,15981
AVTE2,11898
GRJ,101754
TRH1,21262
CVA2,23206
GCRT1,36386
PRR1,9109
FIG,10348
LGTN2,10565
PQO2,7413
CPSF1,28445
BRA1,15651
MPAZ6,5335
MPAZ2,6987
PLNT2,84285
PFOZ2,27004
JRC3,19127
LGT2,59600
RAZ,58710
ALFK2,31944
QSEC2,1405
HSPH2,1405
AZC2,1596
RAEP4,3316
ROTA2,16352
STLZ5,6645
CTS1,10320
BCM5,6357
BS5,3107
LGCL2,30199
CPL,28115
LAPA2,34757
CMIC2,35983
BARO2,24833
PRR5,34922
BS7,1112
HSJ3,33539
RCA,12073
CSC,15204
PAL6,20617
EQ4,21734
IGRM2,27764
PTDM2,3571
SBNT3,140814
SDB5,13145
VENZ2,28337
AL3,11346
PDR4,24661
JD1,1430
AREI,1430
MCE3,92786
ENCO1,1685
OURO1,3585
AAL2,6881
CRVH2,3826
5706,786724
5704,842616
MOR2,8919
BL2,69581
NAVE2,68904
DSS,19444
TLHR2,56049
PQO1,6663
BJ3,5985
CVLO,15491
5711,636451
SR6,3876
SR5,3221
FBC2,3339
RCON,47083
VIS5,392337
ANTG2,73594
CSR2,51480
BRCP2,43490
ANT2,46561
SAL3,18499
MPL7,72635
CONS3,88838
CI32,49449
ADA2,27549
RPM2,30697
JPAZ2,33277
RM4,30348
PREL2,41295
CPR2,12010
MLAM2,7368
CMIC1,50953
QTAM1,73361
URBP4,10604
URBP2,9966
VFM2,71517
SVP1,38442
